phase,talker,behaviour,dialogue,nextPhases
0,player,,그 항아리는 뭐야? 늘 들고 다니던데.,
0,사달멜리크,,이거? 땅 위에 있을 때부터 술을 담그는 게 내 일이었거든. 지금도 계속하고 있어.,
0,사달멜리크,,혹시 아케르는 만나봤어?,
0,*,Select,응.|아니.,1|2
1,사달멜리크,,그래? 그럼 누구인지 알겠네.,
1,사달멜리크,,그 아이도 이 일을 도와주고 있어.,
1,*,Next,,3
2,사달멜리크,,아마 곧 만나게 될 거야.,
2,사달멜리크,,내 일을 도와주는 여자애야.,
2,*,Next,,3
3,player,,별들도 술을 마셔?,
3,사달멜리크,,"마신다고 취하는 건 아니니까, 그냥 음료지.",
3,사달멜리크,,근데 예전부터 술을 담그다 보니 이런 걸 술이라고 부르는 게 더 익숙해서.,
3,사달멜리크,,사실 마시려고 만드는 건 아니야. 만들고 싶은 술이 있어서 계속 담그는 거지.,
3,사달멜리크,,어렸을 때 우울해지면 몰래 밖에 나와서 밤하늘을 구경했었어. 별들을 볼 때마다 누군가 날 위로하는 기분이 들었거든.,
3,사달멜리크,,"그래서 밤하늘 같은 색을 띠는, 사람을 위로할 수 있는 술을 만들고 싶었어.",
3,사달멜리크,,지금은 내가 그 하늘 위에 있다는 게 웃기지만.,
3,player,,만들 수 있을 거야.,
3,사달멜리크,,엄청 자신 있게 말하네. 그렇게 생각하는 이유라도 있어?,
3,*,Select,그때보다 지금 더 밤하늘이랑 가까우니까?|넌 왠지 그럴 수 있을 것 같아서.,4|5
4,,,(소녀의 답안에 황당해하는 웃음을 짓는다.),
4,사달멜리크,,"뭐, 맞는 말이긴 하네.",
4,*,Next,,6
5,사달멜리크,,풉. 그게 뭐야.,
5,사달멜리크,,이유도 없으면서 그냥 그렇다고 생각하는 거야?,
5,*,Next,,6
6,사달멜리크,,"너, 나한테 잘 보여야 할 이유라도 있어?",
6,사달멜리크,,너무 좋은 말만 해주는 게 아닌가 싶어서.,
6,player,,"그냥, 친해지고 싶어서.",
6,사달멜리크,,친해지고 싶어서?,
6,사달멜리크,,"음, 그러고 보니 그 애도 그랬지.",
6,player,,그 애?,
6,사달멜리크,,"땅 위에 있던 시절에 비슷한 대화를 한 적이 있거든. 처음 보는 사이인데도 무척 호의적으로 대해줘서 왜 그러냐고 물었었는데, 친해지고 싶었다고 대답하더라고.",
6,사달멜리크,,"음, 슬슬 가봐야겠다. 오늘 할 일을 좀 미뤄뒀었거든. 다음에 또 올게.",
