phase,talker,behaviour,dialogue,nextPhases
0,금성,,나 왔어! 그동안 심심하진 않았어?,
0,*,Select,들고 계신 건 뭐예요?|조금. 마침 언니가 와서 다행이에요.,1|2
1,금성,,"아, 이거? 별들 사이에서 연락할 때 쓰는 거야. 땅 위에서는 휴대전화라고 부르더라.",
1,금성,,이걸 내가 왜 가져왔는지 궁금하지 않아?,
1,*,Next,,3
2,금성,,너 말 잘 듣는구나? 언니라고 부르라던 것도 기억하고.,
2,금성,,그런 널 위해 내가 준비해둔 게 있지!,
2,금성,,짠! 이거 봐. 셀카봉이랑 카메라 기능이 있는 전화야!,
2,*,Next,,3
3,금성,,너랑 알게 된 기념으로 같이 사진 찍으면 좋을 것 같아서!,
3,player,,사진이요?,
3,금성,,응. 사실 내가 제일 좋아하는 게 사진 찍는 거거든.,
3,금성,,혹시 사진 찍는 거 싫어하면 안 찍어도 돼!,
3,player,,괜찮아요. 저도 사진 찍는 거 좋아하니까.,
3,금성,,좋아. 그럼 이쪽 보고 웃어볼래?,
3,금성,,"오, 잘 웃네. 그럼 찍는다!",
3,,,(찰칵거리는 소리가 연달아 들린다.),
3,금성,,이거 잘 나왔네. 너도 한 장 인쇄해줄까?,
3,player,,그럼 부탁할게요.,
3,금성,,그럼 다음에 올 때 이 사진 인화해서 가져올게.,
3,금성,,"평소에 웃는 모습을 별로 못 봐서 웃을 때 어색할 줄 알았는데, 생각보다 자연스러운데?",
3,금성,,자주 웃고 다녀. 잘 어울리니까.,
3,금성,,제대로 확인하려면 잠깐 셀카봉에서 휴대전화 좀 빼야겠다.,
3,금성,,……엇.,
3,금성,,큰일 났다. 셀카봉 위쪽이 부러졌네.,
3,,,(휴대전화를 건넨다.),
3,금성,,이것 좀 이어 붙여야겠다. 찍은 사진들 좀 천천히 보고 있어!,
3,player,,(계속 보고 있어야 할 정도로 많이 찍었나?),
3,*,Select,뒤로 가기를 누른다.|계속 오른쪽으로 넘긴다.,4|5
4,player,,(한 번에 확인하려면 이렇게 보는 게 편하겠지?),
4,player,,(앨범에 있는 사진이 6만 개?),
4,player,,"(이건 좀 심한데, 심지어 폴더명이 ‘올해의 사진들’이라니.)",
4,*,Next,,6
5,player,,(잠깐. 사진이 대체 몇 개야? 셀카만 몇십 장 되는 것 같은데.),
5,player,,(셀카 다음에는 컵케이크 사진만 15장이 있네. 그렇게 맛있어 보이지도 않는데.),
5,player,,(나만 이상한가?),
5,*,Next,,6
6,금성,,"미안, 기다렸지? 셀카봉이 아예 박살났나 봐. 돌아가서 고쳐야 할 것 같네.",
6,금성,,휴대전화 돌려줄래? 오늘은 일찍 가봐야겠어.,
6,player,,여기요.,
6,금성,,아까 보여준 것 말고 마음에 드는 사진 있었어? 그것도 인화해줄게.,
6,player,,"아, 아뇨.",
6,금성,,왜 이렇게 당황해? 뭐 숨기는 거라도 있는 거 아냐?,
6,금성,,"뭐야, 장난친 건데 표정이 왜 이렇게 심각해? 어디 아파?",
6,player,,괜찮아요. 그냥 조금 피곤해서.,
6,금성,,"에고, 내가 너무 오랫동안 있었나 봐. 신경 써주지 못해서 미안.",
6,player,,언니 탓 아니에요. 걱정하지 마요.,
6,금성,,그래도 많이 피곤해 보이는걸. 오늘은 이만 돌아가 볼게.,
6,금성,,다음에 사진 꼭 갖고 올게! 푹 쉬고 있어!,
