<<<<<<< HEAD
﻿phase,talker,behaviour,dialogue,nextPhases
0,금성,,나 없는 동안 심심하진 않았어?,
0,player,,안 그래도 언니를 기다리고 있었어요.,
0,금성,,"늘 느끼는 거지만, 말 참 예쁘게 해.",
0,금성,,"그러고 보니 같이 사진 찍은 지 좀 됐지? 셀카봉도 고쳤고, 사진 한 번 어때?",
0,player,,"(얼마 안 된 것 같은데, 벌써 좀 됐나?)",
0,금성,,"자, 찍는다? 카메라 봐봐. 저번처럼 활짝 웃고!",
0,,,(찰칵거리는 소리가 계속 들린다.),
0,금성,,"오, 이거랑 이거 잘 나왔네. 저번보다 표정이 좋은데?",
0,player,,궁금한 게 있는데요.,
0,금성,,응?,
0,player,,사진은 언제부터 그렇게 자주 찍기 시작한 거예요?,
0,금성,,사실 사진을 찍기 시작한 건 얼마 안됐어.,
0,금성,,지상에서 카메라가 발명되기 전까지는 사진을 찍는다는 것 자체를 생각 못 하고 있었거든.,
0,금성,,근데 카메라를 보니까 저런 기계가 있었으면 좋겠다는 생각이 들더라고.,
0,금성,,"그런 생각이 든 지 얼마 안 돼서, 어떤 별이 만들었는지는 몰라도 사진을 찍을 수 있는 도구가 만들어졌다고 하더라고.",
0,금성,,그 뒤로 우리도 사람들처럼 사진을 찍을 수 있게 됐지.,
0,금성,,지금을 생생히 기록하기에는 정말 완벽한 방법이지. 그렇지 않아?,
0,금성,,…….,
0,금성,,"조금만 빨랐으면, 이라고 말하기에는 너무 오래전의 일이지만, 만약 예전부터 이런 게 있었다면 좋았을 텐데.",
0,*,Select,사진을 찍지 못해 후회할만한 일이 있으셨나요?|안색이 별로 좋지 않은 것 같아요.,1|2
1,금성,,후회?,
1,금성,,"그러게. 이미 충분히 후회하고도 남은 것 같은데, 계속 머리에 남네.",
1,*,Next,,3
2,금성,,예전 일 때문에 그래.,
2,금성,,"네 잘못 아니니까, 걱정하지 마.",
2,*,Next,,3
3,금성,,아무래도 내가 저번부터 널 궁금하게 만든 것 같네.,
3,금성,,예전에 네가 위성 이야기를 꺼낸 적이 있었지?,
3,금성,,나한테도 위성이 있었어.,
3,금성,,이미 사라진 지는 셀 수도 없는 시간만큼 지났지만.,
3,금성,,의지할 곳이 나밖에 없어 늘 나를 찾던 어린 위성이었어.,
3,금성,,그런 걔한테 나는 태양계 가족에게 가진 애정과는 뭔가 다른 걸 느꼈지.,
3,금성,,의지할 존재가 나밖에 없는 어린애를 어떻게 외면하겠어?,
3,금성,,편하게 대하라고 말하는데도 서툰 발음으로 금성 님이라고 말해주는 애를.,
3,금성,,무슨 일만 있으면 혹시나 내가 기분이 상하지는 않았을까 불안해하는 아이를.,
3,금성,,"음, 아마도 사람들이 자식을 키우는 게 이런 기분일지도.",
3,금성,,꽤 오랜 시간을 그 애와 같이 보냈어. 하지만 그중에도 절대 잊지 못할 순간이 있었지.,
3,금성,,여느 때처럼 위성이랑 같이 먹을 간식을 들고 찾아간 날이었어.,
3,금성,,근데 그날따라 애가 뭔가 말하고 싶어 하는 게 눈에 보이더라고.,
3,금성,,내가 기다리다 못해 얼른 말하라고 재촉까지 해버렸지 뭐야.,
3,금성,,그 날 처음으로 그 애는 날 언니라고 불렀어.,
3,금성,,아직도 그 순간이 잊히지 않아. 말투나 표정도. 내가 느꼈던 기쁨도.,
3,금성,,정말 잊히지 않는 기억이야.,
3,금성,,…….,
3,금성,,사실 네가 날 언니라고 부를 때마다 눈물이 나올 것 같았어.,
3,금성,,너한테서 그 애가 보였으니까.,
3,금성,,"난 아직도 예전 기억에서 벗어나지 못하고 있구나, 그렇게 생각했지.",
3,금성,,"미안. 더 이야기해주고 싶은데, 더 얘기하면 울 것 같아.",
3,*,Select,(손을 잡아준다.)|(가만히 바라본다.),4|5
4,금성,,…….,
4,금성,,고마워.,
4,*,Next,,6
5,금성,,위로해주고 싶은 표정이네.,
5,금성,,너무 걱정하지 마. 예전 일이니까.,
5,*,Next,,6
6,금성,,"음, 분위기가 이게 뭐람! 오늘은 가봐야 할 것 같아.",
6,금성,,다음에 왔을 땐 꼭 끝까지 이야기해줄게. 그러니까 그때까지만 기다려줘. 알았지?,
,,,,
,,,,
=======
﻿phase,talker,behaviour,dialogue,nextPhases
0,금성,,나 없는 동안 심심하진 않았어?,
0,player,,안 그래도 기다리고 있었어요.,
0,금성,,"늘 느끼는 거지만, 말 참 예쁘게 해. 그러니 내가 안 예뻐할 리가 있나.",
0,금성,,"그러고 보니 같이 사진 찍은 지 좀 됐지? 셀카봉 가져왔는데, 어때?",
0,player,,"(얼마 안 된 것 같은데, 벌써 좀 됐나?)",
0,금성,,"자, 찍는다? 카메라 봐봐. 저번처럼 활짝 웃고!",
0,,,(찰칵거리는 소리가 연달아 들렸다.),
0,금성,,"오, 이거랑 이거 잘 나왔네. 저번보다 표정이 좋은데?",
0,player,,사진은 언제부터 찍기 시작한 거예요?,
0,금성,,사실 지상에서 사진이 발명되기 전까지는 생각 못 하고 있었어.,
0,금성,,근데 만든 걸 보고 나니 저런 기계가 있었으면 좋겠다는 생각이 들더라고.,
0,금성,,그런 생각이 든 지 얼마 안 돼서 누가 만들었는지는 모르지만 이런 기계가 발명되었다는 소문이 들려오더라고.,
0,금성,,"아무튼, 그 뒤로 우리도 사람들처럼 사진을 찍을 수 있게 됐지.",
0,금성,,지금을 생생히 기록하기에는 정말 완벽한 방법이지. 그렇지 않아?,
0,금성,,"조금만이라고 하기에는 너무 오래전의 일이지만, 만약 예전부터 이런 게 있었다면……",
0,*,Select,후회할만한 일이 있으셨나요?|안색이 별로 좋지 않은 것 같아요.,1|2
1,금성,,후회?,
1,금성,,"그러게. 이미 충분히 후회하고도 남은 것 같은데, 계속 머리에 남네.",
1,*,Next,,3
2,금성,,예전 일 때문에 그래.,
2,금성,,"네 잘못 아니니까, 걱정하지 마.",
2,*,Next,,3
