phase,talker,behaviour,dialogue,nextPhases
0,천왕성,,나 어제 해왕성 붙잡고 얘기해봤어.,
0,player,,(오자마자 갑자기 이 얘기를?),
0,*,Select,무슨 얘기를 하셨는데요?|얘기는 잘 하셨어요?,1|2
1,천왕성,,"별거 없었어. 뭘 좋아하는지, 행성 구석에서는 뭘 하는지. 그리고 요즘은 왜 잘 안 어울려 주는지 그 정도 이야기.",
1,*,Next,,3
2,천왕성,,잘했냐고?,
2,천왕성,,"음, 나름 잘한 것 같아. 내가 생각하기에는!",
2,*,Next,,3
3,천왕성,,걔는 행성 구석에서 태양계 바깥에 관한 책을 읽는 걸 제일 좋아한대.,
3,천왕성,,그리고 밖에 나가면 금방 기운이 빠져버려서 차마 날 쫓아다닐 엄두가 안난대.,
3,천왕성,,더 많은 별을 만나고 싶지 않으냐 물으니 태양계 가족들로 충분하다고 하더라고.,
3,천왕성,,전부 나랑 달랐어. 신기했지.,
3,천왕성,,난 걔와 내가 좋아하는 게 같을 거라 은연 중에 생각하고 있었어.,
3,천왕성,,다른 사람은 다를 수 있지. 명왕성만 해도 우리와 가깝지만 전혀 다른 아이니까.,
3,천왕성,,하지만 쌍둥이인 우리만큼은 서로 비슷할 거라 여겼었나봐.,
3,천왕성,,이젠 알아. 걔가 나와 정말 다르다는 건.,
3,천왕성,,그래도 이렇게 하나도 비슷한 점이 없다는 건 조금 슬프네.,
3,천왕성,,어릴 적부터 제일 친한 친구이자 가족은 걔였는데.,
3,천왕성,,그 퉁명스러운 오빠놈은 어릴적 시절을 기억이나 하려나. 쳇.,
3,*,Select,기억하고 있을 거에요.|제일 친한 친구이자 가족이라면서요?,4|5
4,천왕성,,"너, 나보다 한참 어린 거 맞지?",
4,천왕성,,신기하단 말야. 그렇게 확신에 차서 말하는게.,
4,천왕성,,너무 그렇게 심각한 표정 짓지마. 별 의도를 담은 게 아니었으니까.,
4,*,Next,,6
5,천왕성,,그렇지. 정말 친했으니까.,
5,천왕성,,지금은 어떨지 모르지.,
5,*,Next,,6
6,천왕성,,"내가 늘 걔라고 하면서 은근슬쩍 무시하긴 하지만, 그래도 어릴적처럼 같이 놀면 좋을 것 같단 말이야.",
6,천왕성,,…… 놀아달라고 매달려볼까.,
6,player,,(매달려……?),
6,천왕성,,표정 풀어. 농담이니까.,
6,천왕성,,돌아다니는 걸 싫어한다는데 내가 뭘 더해. 혹시 그러고 싶다면 먼저 말해주겠지.,
6,천왕성,,"뭐, 이제 얘기는 편하게 할 수 있을 것 같으니 그걸로 만족해야지.",
6,천왕성,,그럼 또 말 걸러 가봐야겠다. 그동안 쌓였던 질문들이 너무 많아서 말야.,
6,천왕성,,물론 너랑 할 얘기도 많으니까 금방 돌아올게!,
