<<<<<<< HEAD
﻿phase,talker,behaviour,dialogue,nextPhases
0,천왕성,,드디어 네 얘기를 들어줄 여유가 생겼네!,
0,천왕성,,그러고 보니 너는 여기서 사는 거야? 무척 아늑한 곳이네!,
0,*,Select,분명 제가 얘기할 순간 아니었나요……?|여기가 마음에 드나요?,1|2
1,천왕성,,"앗, 미안! 하고 싶은 이야기가 떠오르자마자 말을 내뱉다 보니.",
1,천왕성,,하고 싶은 이야기 있어? 이제 잘 들어줄게.,
1,*,Next,,3
2,천왕성,,응! 마음에 들어.,
2,천왕성,,"어디 보자, 이쯤에 앉으면 되겠다. 자, 이제 이야기 들어줄 준비 됐어!",
2,*,Next,,3
3,player,,사실 할 이야기는 크게 없어요.,
3,player,,다만 자기소개를 조금 듣고 싶긴 해요.,
3,천왕성,,내가 어떤 별인지 궁금한 거야?,
3,천왕성,,"음, 일단 내가 사는 행성을 소개해주자면, 우리 가족 중에서는 세 번째로 큰 행성이지! 해왕성보다는 조금 덜 무겁지만, 더 크니까 상관없어!",
3,천왕성,,"아, 해왕성은 내 쌍둥이야.",
3,천왕성,,밖으로 잘 안 돌아다녀서 노는 동안은 얼굴 보긴 힘들지만.,
3,천왕성,,요즘은 우리 명왕성보다도 조용한 것 같다니까.,
3,*,Select,‘우리’ 명왕성이요?|쌍둥이 중 누가 위인가요?,4|5
4,천왕성,,"위치가 가까워서 자주 보는 데다, 다른 동생들보다 어른스러운 것 같으면서도 애 같은 게 귀여워서 말이야.",
4,천왕성,,다른 동생들은 예뻐해 주기엔 너무 커버렸어. 키도 다들 나보다 더 클걸?,
4,*,Next,,6
5,천왕성,,"해왕성이 언니긴 하지만, 쌍둥이니까 상관없잖아?",
5,천왕성,,그런 언니를 언니라고 부르기도 좀 그렇고. 토성 언니만 봐도 걱정이 좀 많긴 하지만 든든하잖아.,
5,*,Next,,6
6,천왕성,,억. 그러고 보니 명왕성이랑 이따 놀기로 했는데. 곧 있으면 가야겠네.,
6,천왕성,,행성 소개만 하고 정작 내 소개를 못했는데.,
6,player,,(사실 말 안 해줘도 어떤 성격인지는 알 것 같다…….),
6,천왕성,,"뭐, 난 보다시피 쌍둥이랍시고 닮은 구석은 없는 누구와는 전혀 다른 쾌활한 성격이지! 태양계 밖에도 인맥이 꽤 많다고?",
6,player,,그 누구는 설마 해왕성인가요?,
6,천왕성,,정답! 걘 너무 조용하단 말이야. 나랑 쌍둥이가 맞나 싶을 정도로. 가끔 내뱉는 말이라고는 독설밖에 없고.,
6,천왕성,,저번에도 태양계 바깥으로 같이 놀러 가자고 했다가 무시당했어.,
6,천왕성,,"앗, 약속에 늦지 않으려면 지금 가야겠네. 금방 올 테니까 나 일찍 갔다고 실망하지 마!",
=======
﻿phase,talker,behaviour,dialogue,nextPhases
0,천왕성,,드디어 네 얘기를 들어줄 여유가 있겠네!,
0,천왕성,,그러고 보니 여기서 사는 거야? 무척 아늑한 곳이네!,
0,*,Select,"음, 제 얘기 들어주려고 오신 거 아니었나요?|여기가 마음에 드나요?",1|2
1,천왕성,,"앗, 미안! 떠오르자마자 말을 내뱉다 보니.",
1,천왕성,,하고 싶은 이야기 있어? 이제 잘 들어줄게.,
1,*,Next,,3
2,천왕성,,응! 마음에 들어.,
2,천왕성,,"어디 보자, 이쯤에 앉으면 되겠다. 자, 이제 이야기 들어줄 준비 됐어!",
2,*,Next,,3
3,player,,사실 할 이야기는 크게 없어요. 굳이 따지자면 자기소개를 듣고 싶어서요.,
3,천왕성,,내가 어떤 별인지 궁금한 거야?,
3,천왕성,,"음, 일단 내가 사는 행성을 소개해주자면, 우리 가족 중에서는 세 번째로 큰 행성이지! 해왕성보다는 조금 덜 무겁지만 더 크니까 상관없어!",
3,천왕성,,"아, 해왕성은 내 쌍둥이야. 밖으로 잘 안 돌아다녀서 노는 동안은 얼굴 보긴 힘들지만.",
3,천왕성,,요즘은 우리 명왕성보다도 조용한 것 같다니까.,
3,*,Select,우리 명왕성이요?|쌍둥이 중 누가 위인가요?,4|5
4,천왕성,,"위치가 가까워서 자주 보는 데다, 다른 동생들보다 어른스러운 것 같으면서도 애 같은 게 귀여워서 말이야.",
4,천왕성,,다른 동생들은 예뻐해 주기엔 너무 커버렸어. 키도 나보다 더 클걸?,
4,*,Next,,6
5,천왕성,,"해왕성이 오빠긴 하지만, 쌍둥이니까 상관없잖아? ",
5,천왕성,,그런 오빠를 오빠라고 부르기도 좀 그렇고. 목성 오빠만 봐도 조금 모자라지만 든든하잖아.,
5,*,Next,,6
6,천왕성,,억. 그러고 보니 명왕성이랑 이따 놀기로 했는데. 곧 있으면 가야겠네.,
6,천왕성,,다른 행성들 소개만 하고 정작 난 어떤지 소개하지를 못했네.,
6,player,,(사실 말 안 해줘도 어떤 성격인지는 알 것 같다……),
6,천왕성,,"뭐, 난 보다시피 쌍둥이랍시고 닮은 구석은 없는 누구와는 전혀 다른 쾌활한 성격이지! 태양계 밖에도 인맥이 꽤 많다고?",
6,player,,그 누구는 설마 해왕성인가요?,
6,천왕성,,정답! 쌍둥이인데도 걘 너무 조용하단 말이야. 가끔 내뱉는 말이라고는 독설밖에 없고.,
6,천왕성,,저번에도 같이 놀러 가자고 했다가 무시당했어.,
6,천왕성,,늦지 않으려면 지금 가야겠네. 금방 올 테니까 나 안 온다고 실망하지 마!,
>>>>>>> 4eef7f39d9713b251e8752793392476af5baaf31
