phase,talker,behaviour,dialogue,nextPhases
0,player,,어? 기타에 뭘 또 붙이고 계신 건가요?,
0,아크투루스,,응~ 팬 한 명이 선물을 보내와서 말이야.,
0,아크투루스,,이것 봐! 해골 모양이야. 멋있지 않니?,
0,player,,예? 아…… 네……,
0,아크투루스,,크~ 역시! 내 오랜 팬 답다니까. 내 취향대로 보내주고 말이야.,
0,player,,기타 외관도 그렇고…… 뭔가 되게 요란하네요.,
0,아크투루스,,"그거야말로 정통 '락 스피릿!', '락으로부터 오는 열정!' 이라는 거지.",
0,player,,음…… 어? 여기 이건 뭐에요?,
0,아크투루스,,뭐?,
0,player,,여기 스티커 중에 하트 마크가 있는데요.,
0,아크투루스,,앗……,
0,player,,혹시 하트도 락 스피릿에 해당하는 건가요?,
0,아크투루스,,"아, 아니, 아니! 전혀! 이거, 저기, 뭐냐.",
0,아크투루스,,"그, 그래! 내 첫 팬! 내 첫 팬이 선물해 준 거라!",
0,아크투루스,,"아, 아하하! 첫 팬이 선물해 준 건데 버릴 순 없잖아? 그래서 붙이고 있는 거야, 그래서!",
0,*,Select,저…… 괜찮으신가요? 갑자기 얼굴이 빨개지셨는데요.|첫 팬이 엄청 소중한 분이셨나 봐요.,1|2
1,아크투루스,,"아, 그, 그래? 어휴, 벌써 여름인가 봐~",
1,player,,여름이요? 지금은 봄인……,
1,아크투루스,,"뭐, 봄일 수도 있지만 몇 달 있으면 여름이니까 여름이라고 할 수도 있지! 아하하……",
1,player,,진짜 괜찮으신거 맞죠? 땀이 계속 삐질삐질 흐르시는데……,
1,*,Next,,3
2,아크투루스,,"으응?! 아, 무, 뭐, 그렇지! 아, 아하하……",
2,아크투루스,,"처, 첫 공연 때, 때부터 보, 보셨던 부, 분이니까 말이야! 아하하……",
2,player,,저기…… 말을 엄청 더듬으셔서 무슨 얘기신지……,
2,아크투루스,,"어, 어쨌든! 어, 엄청 의미 있는 스, 스티커긴 해!",
2,*,Next,,3
3,아크투루스,,"하, 하지만 역시 하트는 락 스피릿에 어울리지 않지!",
3,아크투루스,,좋아! 오늘 받은 건 여기에 붙여야겠다!,
3,player,,와왓! 기타 부서지겠어요! 왜 그렇게 세게 붙이시는 거에요?,
3,아크투루스,,그래야! 내 팬이 보내준 소~중한 락 스피릿이 담긴 스티커가 안 떨어지지 않겠니?,
3,아크투루스,,"게다가! 하트라니! 절~대! 어울리지 않지! 암, 그렇고말고!",
