phase,talker,behaviour,dialogue,nextPhases
0,player,,지금 네 모습은 주인이 그린 그림과 닮은 거지?,
0,고양이 눈 성운,,"응, 그렇지. 이 귀랑 꼬리만 내 고양이 때 모습과 비슷해.",
0,player,,귀랑 머리 색은 원래 털 색을 닮은 거야?,
0,고양이 눈 성운,,아무래도 그렇지? 뭔가 잘못된 거라도 있어?,
0,player,,혹시 눈 색은 고양이일 때랑 똑같아?,
0,고양이 눈 성운,,응. 거의 비슷했던 것 같아.,
0,player,,네 주인이 살던 곳에서 분홍색 머리카락은 흔했어?,
0,고양이 눈 성운,,그렇진 않았어. 대부분 검은색 머리카락을 가지고 있었거든.,
0,*,Select,그런데 왜 분홍 머리의 소녀를 친구로 그린 걸까?|고양이인 너랑 많이 닮았네. 그치?,1|2
1,고양이 눈 성운,,…한 번도 생각해본 적 없었어.,
1,*,Next,,3
2,고양이 눈 성운,,"그러게. 눈 색도, 머리 색도, 제일 좋아하던 옷도. 설마…….",
2,*,Next,,3
3,player,,애초에 네 주인은 널 그렸던 게 아닐까?,
3,고양이 눈 성운,,하지만 난 고양이인걸. 사람 같은 게 아니야. 그림 속 그 애는 그냥 날 닮은 사람이지.,
3,player,,"네 말대로, 많은 사람이 고양이랑 사람이 정말로 친구가 될 수 있다고 생각하진 않아.",
3,player,,만약 네 주인이 고양이를 그렸다면 과연 받아 들여준 사람이 있었을까?,
3,player,,내가 보기에 네 주인은 꽤 용감한 사람이야.,
3,player,,이런 머리에 이런 눈을 가지고 있는 사람은 흔하지 않으니까 말이야.,
3,고양이 눈 성운,,…….,
3,고양이 눈 성운,,넌 정말 섬세한 애구나.,
3,player,,"네 주인의 친구는 너였을 거야. 너와 함께 하던 날에도, 네가 맘속으로 슬퍼하던 날에도, 네가 죽고 그 이후의 날에도.",
3,고양이 눈 성운,,너 이렇게 말 많이 하는 거 처음 듣는 것 같아.,
3,고양이 눈 성운,,그만큼 네가 날 많이 생각하고 있는 거라고 믿어도 될까?,
3,player,,당연히.,
3,고양이 눈 성운,,고양이인 내가 내 주인님과 친구였었다고 믿어도 되는 걸까?,
3,player,,처음 만난 이후로 언제나 그랬잖아?,
3,,,"(평소에는 절대 짓지 않던, 장난기라고는 없는 미소를 지어 보인다.)",
3,고양이 눈 성운,,"고마워, 정말로. 그렇게 말해줘서.",
3,고양이 눈 성운,,그동안 너무 불안했어.,
3,고양이 눈 성운,,나 혼자만 그런 감정을 느낀다고 생각했어.,
3,고양이 눈 성운,,네 말이 맞아. 난 우리 주인님의 첫 친구야.,
3,고양이 눈 성운,,사람이 아니어도 친구가 되기엔 충분했어.,
3,고양이 눈 성운,,"내 위로에 미소를 지어 보이고, 내가 힘이 없을 때마다 주인님이 날 위로했어.",
3,고양이 눈 성운,,말은 전하지 못해도 마음은 전할 수 있었어.,
3,고양이 눈 성운,,…고마워.,
