phase,talker,behaviour,dialogue,nextPhases
0,해왕성,,오랜만이네. 요즘 갖고 싶던 앨범을 구하는 바람에 듣는데 한창 빠져있었어. 미안.,
0,해왕성,,혹시 기다렸어?,
0,*,Select,다른 별들도 있으니까요.|그럼요. 오래 기다렸는걸요.,1|2
1,해왕성,,좋은 자세야.,
1,해왕성,,"난 넓은 인간관계는 질색이지만, 어릴 땐 많은 사람, 아니 별을 만나보는 게 좋지.",
1,*,Next,,3
2,해왕성,,……정말?,
2,해왕성,,미안. 조금 당황했어. 전혀 예상하지 못한 답이라.,
2,*,Next,,3
3,해왕성,,아까 천왕성이 카이퍼 벨트 가자고 또 조르러 왔길래 거절하고 왔어.,
3,해왕성,,검색만 조금 해봐도 요즘 그곳이 얼마나 위험한지 알 텐데.,
3,해왕성,,"뭐, 간다고 죽지는 않겠지만 한 번 가면 시간 엄청 뺏길 게 분명하니.",
3,해왕성,,"하, 나 좀 내버려 두면 안 되나.",
3,player,,놀러 나가는 걸 좋아한다고 생각하고 찾아오는 게 아닐까요?,
3,해왕성,,설마.,
3,player,,원래 가까운 사람에게 자신이 좋아하는 걸 공유하고 싶은 법이니까요.,
3,해왕성,,설마 걘 내가 자기처럼 이곳저곳 돌아다니는 걸 좋아한다고 생각하는 거야?,
3,해왕성,,오히려 내가 이해가 안 되네. 걔는 대체 언제 쉬는 건지 모르겠단 말이야.,
3,player,,동생분한텐 다른 사람들을 만나는 게 휴식 아닐까요?,
3,해왕성,,그럴 리가 있나. 돌아다니면 일단 에너지를 쓰게 되잖아?,
3,player,,해왕성은 앉아서 쉬는 것만 휴식으로 생각하시는 것 같네요.,
3,해왕성,,보통은 그렇잖아.,
3,해왕성,,내 취향의 노래를 들으며 책을 읽는 시간이 얼마나 좋은 휴식인데.,
3,해왕성,,24시간 내내 산책하고 싶어 하는 강아지처럼 돌아다니는 건 걔밖엔 없어.,
3,해왕성,,난 보던 책이 있어서 마저 읽으러 가볼게.,
3,해왕성,,……….,
3,해왕성,,다음에 보자.,
