phase,talker,behaviour,dialogue,nextPhases
0,해왕성,,오늘은 그래도 조금 덜 피곤하네.,
0,해왕성,,여기서 혼자 사는 거야? 조용하니 편하겠네.,
0,*,Select,조용한 걸 좋아하시나요?|편하다니요?,1|2
1,해왕성,,응. 혼자만의 시간이면 더 좋고.,
1,해왕성,,"그래서 원래는 내 행성에 늘 박혀있는데, 요즘 동생이 귀찮게 굴어서 말이야.",
1,*,Next,,3
2,해왕성,,혼자 살면 편하지 않아?,
2,해왕성,,주변에 사람도 없으니 조용할 거고.,
2,*,Next,,3
3,player,,"저, 해왕성의 이야기를 듣고 싶어요.",
3,해왕성,,내 이야기?,
3,player,,곤란하시면 살고 계신 행성 소개도 괜찮아요.,
3,해왕성,,내가 사는 행성?,
3,해왕성,,"우리 가족 중에서는 세 번째로 무거운 행성이지. 동생보다는 조금 작지만, 원래 물리법칙에서는 부피보다는 질량이 중요한 거 아니겠어? 행성을 행성이게 만들어주는 힘도 사실 질량에서……",
3,player,,(……뭔가 잘못 건드린 것 같다. 화제를 좀 돌리자.),
3,player,,동생이요?,
3,해왕성,,"아, 천왕성이라고, 내 쌍둥이 동생이야.",
3,해왕성,,"이곳저곳 돌아다니느라 예전보단 안보이지만, 쉴만하면 찾아온다니까.",
3,해왕성,,"너무 자주 찾아오는 거 아닌가 싶어. 뭐, ‘우리’ 명왕성 보러 가자고 데리러 오는 건 빼고 말이야.",
3,*,Select,‘우리’ 명왕성?|동생이랑 친하신가 보네요.,4|5
4,해왕성,,"다른 애들과 달리 침착하고 조용한데, 그러면서도 애같이 귀여운 면이 있어서 말이야.",
4,해왕성,,천왕성이 명왕성 성격 반만 닮았어도 지금처럼 안 맞지는 않았을걸.,
4,*,Next,,6
5,해왕성,,음. 친한지는 모르겠네. 요즘 들어 날 언니라고 안 부르기도 하고.,
5,해왕성,,어릴 때는 잘 따랐는데 말이야.,
5,*,Next,,6
6,해왕성,,아. 그러고 보니 명왕성 줄 책을 골라야 하는데 깜빡하고 있었네.,
6,해왕성,,"원래 내 얘기도 좀 해주고 싶었는데, 다른 길로 샜네.",
6,player,,(사실 처음 만났을 때부터 성격은 알 것 같지만…….),
6,해왕성,,"뭐, 이야기하다 보면 내가 어떤 성격인지는 금방 보일 거야.",
6,해왕성,,나는 갈피 못 잡고 아무 얘기나 꺼내는 누구보다는 침착하게 이야기하는 편이니까.,
6,player,,그 누구는 설마 동생인가요?,
6,해왕성,,똑똑하네.,
6,해왕성,,나가기 싫다고 몇 번이나 말해도 금방 까먹고 억지로 끌어내려는 동생보다 훨씬 나아.,
6,해왕성,,대체 왜 그리 자주 바깥을 쏘다니는 건지. 이불 밖은 위험한 법인데..,
