phase,talker,behaviour,dialogue,nextPhases
0,수알로킨,,"안녕, 꼬마! 나 또 왔어.",
0,수알로킨,,저번의 케이크는 어땠어? 엄청 맛있었지?,
0,*,Select,"네? 아, 네! 엄청 맛있었어요. 하하.|네…… 좀 푸석푸석 했지만요.",1|2
1,수알로킨,,어? 그래? 그게 네 입맛에 맞았다고?,
1,수알로킨,,…… 가 아니라! 역시! 너랑 초코 케이크가 맞을 거 같았어!,
1,*,Next,,3
2,수알로킨,,아…… 역시. 내 상상대로야.,
2,수알로킨,,너랑 초코 케이크는 운명이 아닌가 보네.,
2,*,Next,,3
3,수알로킨,,그런 너를 위해 이번에도 케이크를 준비했어!,
3,*,Select,"또…… 요?|와, 와아아아……",4|5
4,수알로킨,,"어…… 뭐야, 그 반응? 혹시 안 좋은 거야?",
4,player,,"아, 아니요…… 싫은 건 아닌데……",
4,수알로킨,,그렇지? 휴~ 괜히 걱정했네.,
4,*,Next,,6
5,수알로킨,,좋지? 역시 좋아할 거 같았어!,
5,*,Next,,6
6,수알로킨,,기대하라고! 이번엔 조금 다른 방식으로 나올테니까 말이야!,
6,수알로킨,,바로…… 이 선물상자 안에서!,
6,수알로킨,,…… 어? 뭐야? 왜 이거밖에 없지?,
6,player,,수알로킨. 저기……,
6,수알로킨,,응? 앗!,
6,수알로킨,,"야, 돌고래 아리온! 그걸 니가 먹으면 어떻게 해!",
6,수알로킨,,아이씨…… 기껏 준비했던게 다 물거품이 되어버렸잖아……,
6,수알로킨,,"저기, 꼬마. 화 내지 말고 있어봐. 내가 금방 새로운 근사한 걸……",
6,player,,…… 풉!,
6,수알로킨,,응??,
6,player,,아하하하하……,
6,수알로킨,,뭐야? 왜 갑자기 웃는거야?,
6,player,,그냥 허둥대는 모습이 너무 웃겨서요.,
6,수알로킨,,응? 하지만 너 화난 게……,
6,player,,설마 제가 선물을 못 받아서 화났다고 생각하는거에요?,
6,수알로킨,,"하지만…… 내 예상…… 아니, 상상대로라면 그게 맞는데……",
6,player,,저 화 안 났어요. 선물 지금 못 받아도 괜찮고요.,
6,player,,그동안 많이 주…… 려고 노력하셨잖아요. 제대로 못 받은 게 더 많긴 하지만……,
6,player,,지금 못 주게 된 것도 수알로킨이 준비를 못해서 그런게 아니고요. 맞죠?,
6,수알로킨,,잠깐만……,
6,,,(수알로킨이 다시 한 번 예의 그 집중하는 자세를 취하고 있다.),
6,수알로킨,,왜 갑자기 저런 말을 하는 거지? 이건 내가 상상한게 아닌데?,
6,수알로킨,,"아, 뭐, 물론 내 멋대로 저런 성격으로 했을 수도 있지. 내가 무의식적으로 저렇게 만들었을 수도 있고.",
6,수알로킨,,하지만 적어도 그렇게 생각한 적은 없는데? 쟤는 저 상황에서 저렇게 웃으면 안된다고……,
6,player,,저…… 수알로킨?,
6,수알로킨,,으악! 골치 아파! 머리 좀 식히고 올게!,
6,player,,어? 또 갑자기?,
,,,,
