phase,talker,behaviour,dialogue,nextPhases
0,player,,글리제의 부모님은 어떤 사람이었어?,
0,글리제,,…… 미련한 사람들.,
0,player,,응?,
0,글리제,,자기 일밖에 모르는 사람들이었어. 특히 아버지.,
0,player,,좋은 말은 아니네.,
0,글리제,,좋은 말이 나올 수 없지. 애들 둘 남겨놓고 먼저 떠나버린 사람들인데.,
0,player,,……,
0,글리제,,물론 부모님도 그러고 싶어서 그러신 건 아니었겠지만…… 언젠가 우리도 쳐다봐주지 않을까 생각했어.,
0,*,Select,시계는 부모님의 유품인거야?|부모님이 미워?,1|2
1,글리제,,"아, 그건 아니야.",
1,글리제,,차라리 부모님이 이걸 만드는 데 성공했다면 덜 불행했을 텐데.,
1,*,Next,,3
2,글리제,,…… 밉다 못해 원망스러워.,
2,글리제,,나중에 다시 보게 된다면 왜 그랬냐고 울면서 뭐라 할 것 같아.,
2,*,Next,,3
3,,,(글리제의 표정이 울기 직전의 표정으로 일그러졌다.),
3,player,,떠올리게 해서 미안해……,
3,글리제,,네가 의도한게 아니잖아. 괜찮아.,
3,글리제,,그리고…… 누군가에게는 털어놓고 싶었어.,
3,글리제,,…… 네가 있어서 다행이네.,
3,player,,괜찮아?,
3,글리제,,아무렇지 않다면 거짓말이겠지?,
3,글리제,,"미안. 재미있는 이야기들만 들려주고 싶었는데, 다음에 올 때는 못 할 얘기들까지 전부 꺼내놓을 것 같아.",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
