phase,talker,behaviour,dialogue,nextPhases
0,아케르나르,,혹시 단 거 좋아해?,
0,player,,응. 너는?,
0,아케르나르,,나도 그래! 별이 되고 나서부터는 먹기 힘들지만.,
0,player,,별이 되기 전부터 좋아했던 거야?,
0,아케르나르,,응! 그래서 아빠랑 오빠들이 어디 다녀올 때면 아빠가 간식 같은 거 많이 사 왔었어.,
0,아케르나르,,만약 내가 사는 곳이 땅 위였다면 간식을 한가득 준비해왔을 텐데.,
0,*,Select,간식이 없어도 얘기할 상대가 있는 것만으로도 즐거워.|케이크가 조금 있는데.,1|2
1,아케르나르,,진짜? 헤헤…….,
1,아케르나르,,그렇게 말해줘서 고마워! 엄청 상냥하구나.,
1,*,Next,,3
2,아케르나르,,케이크? 정말?,
2,아케르나르,,"내가 제일 좋아하는 간식이 케이크인데! 너, 뭘 좀 아는구나?",
2,*,Next,,3
3,아케르나르,,"뭐, 하늘에도 단 게 아예 없는 건 아니니까 다음에 오면 좀 구해서 가져와 볼게!",
3,player,,아케르네 아빠는 보통 무슨 간식을 사다 주셨어?,
3,아케르나르,,"뭐, 다양했지! 딸기 케이크, 에그 타르트, 심지어는 우리 도시에서는 보지 못했던 신기한 과일들까지!",
3,아케르나르,,근데 오빠들한테는 안 줬어. 오빠들이 단 건 싫어한대.,
3,아케르나르,,막내 오빠가 내 사탕을 탐냈던 걸 보면 그런 건 아닌 것 같은데.,
3,player,,"아케르, 표정이 안 좋은데?",
3,아케르나르,,"어, 그래 보여? 이상하다. 그럴 리가 없는데…….",
3,아케르나르,,"음, 나 가봐야겠다.",
3,아케르나르,,다음에도 재밌게 이야기하자. 알았지?,
